DateTimeNow; Pressure; TempInside; TempOutside; Humidity; Time Device;Latitude Device;Longitude Device;Altitude Device;Time GCS;Latitude GCS;Longitude GCS;Altitude GCS
02.05.2020 14:42:03;936;26.4200920316963;23.6151947021484;54.5506896972656;124201;47.2652;8.4323;446.3;0;0;0;0
02.05.2020 14:42:11;936;26.4269071750844;23.6044677734375;54.4667663574219;124211;47.265;8.432;446.9;0;0;0;0
02.05.2020 14:42:20;936;26.4337223184725;23.6151947021484;54.4667663574219;124218;47.2652;8.4323;447.6;0;0;0;0
02.05.2020 14:42:28;936;26.4269071750844;23.6044677734375;54.5506896972656;124228;47.2653;8.4323;447.6;0;0;0;0
02.05.2020 14:42:37;936;26.4269071750844;23.6151947021484;54.5812072753906;124237;47.2652;8.432;447.5;0;0;0;0
02.05.2020 14:42:45;936;26.4337223184725;23.6151947021484;54.3828430175781;124245;47.2652;8.4323;447.5;0;0;0;0
02.05.2020 14:42:54;936;26.4269071750844;23.6366485595703;54.3523254394531;124254;47.2652;8.4323;447.2;0;0;0;0
02.05.2020 14:43:02;936;26.4132768883082;23.6473754882812;54.3523254394531;124302;47.2652;8.4323;447.1;0;0;0;0
02.05.2020 14:43:11;936;26.4200920316963;23.6473754882812;54.5201721191406;124310;47.2652;8.4323;446.6;0;0;0;0
02.05.2020 14:43:19;936;26.4269071750844;23.6688293457031;54.5506896972656;124317;47.2652;8.4323;446.1;0;0;0;0
02.05.2020 14:43:27;936;26.4269071750844;23.6581024169922;54.4057312011719;124327;47.2652;8.4323;445.7;0;0;0;0
02.05.2020 14:43:36;935;26.4269071750844;23.6688293457031;54.4057312011719;124334;47.2652;8.4323;445.6;0;0;0;0
02.05.2020 14:43:44;936;26.4269071750844;23.6795562744141;54.4972839355469;124344;47.2652;8.4323;445.4;0;0;0;0
02.05.2020 14:43:53;935;26.4337223184725;23.690283203125;54.4667663574219;124353;47.2651;8.4323;444.3;0;0;0;0
02.05.2020 14:44:01;935;26.4269071750844;23.6795562744141;54.3828430175781;124401;47.265;8.4323;443.8;0;0;0;0
02.05.2020 14:44:10;935;26.3996466015321;23.6795562744141;54.2073669433594;124410;47.2649;8.4322;443.4;0;0;0;0
02.05.2020 14:44:18;936;26.3792011713678;23.6581024169922;54.0013732910156;124418;47.2649;8.4322;443.2;0;0;0;0
02.05.2020 14:44:27;936;26.4132768883082;23.6581024169922;54.1158142089844;124426;47.2648;8.4321;442.9;0;0;0;0
02.05.2020 14:44:35;936;26.4132768883082;23.6688293457031;54.2607727050781;124433;47.2648;8.4322;442.7;0;0;0;0
02.05.2020 14:44:43;935;26.4269071750844;23.6688293457031;54.2607727050781;124443;47.2647;8.4321;442.6;0;0;0;0
02.05.2020 14:44:52;936;26.4337223184725;23.6795562744141;54.3523254394531;124452;47.2647;8.4321;443.1;0;0;0;0
02.05.2020 14:45:00;936;26.4200920316963;23.6795562744141;54.3828430175781;124500;47.2649;8.4321;444.1;0;0;0;0
02.05.2020 14:45:09;935;26.4337223184725;23.6581024169922;54.4362487792969;124509;47.2651;8.4321;445.9;0;0;0;0
